activo,ticker,categoria,recomendacion,score_rentabilidad,precio_actual,precio_objetivo,retorno_esperado,direccion,confianza,tendencia,rsi,volatilidad,patrones_alcistas,patrones_bajistas,total_patrones
AMD,AMD,🟢 ALCISTA,✅ COMPRA,61.25,253.04550170898438,253.04550170898438,0.0,Neutral/Lateral,50.0,alcista,58.845500950421844,4.419458390004011,3,2,8
Advanced Micro Devices,AMD,🟢 ALCISTA,✅ COMPRA,61.25,253.04550170898438,253.04550170898438,0.0,Neutral/Lateral,50.0,alcista,58.845500950421844,4.419458390004011,3,2,8
Datadog,DDOG,🟢 ALCISTA,✅ COMPRA,61.25,157.4011993408203,161.46260698451135,2.58029015071028,Alcista,66.66666666666666,bajista,46.097017627164284,2.580290150710284,3,3,8
Apple,AAPL,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,52.86,270.0893859863281,270.0893859863281,0.0,Neutral/Lateral,50.0,alcista,77.39601725517628,1.5062968826183454,3,1,7
Google,GOOGL,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,52.86,278.0950927734375,278.0950927734375,0.0,Neutral/Lateral,50.0,alcista,74.75094692635464,1.8281904288090438,3,2,7
Robinhood,HOOD,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.0,140.2519989013672,140.2519989013672,0.0,Neutral/Lateral,50.0,bajista,54.94025627994073,3.949684158967099,2,0,3
Snowflake,SNOW,🟡 NEUTRAL-ALCISTA,👍 COMPRA MODERADA,50.0,267.0799865722656,267.0799865722656,0.0,Neutral/Lateral,50.0,alcista,71.9818573079522,2.587950996860469,6,3,12
Microsoft,MSFT,🟡 NEUTRAL-ALCISTA,⚖️ MANTENER/OBSERVAR,45.91,512.6599731445312,512.6599731445312,0.0,Neutral/Lateral,50.0,bajista,49.37589662916902,1.114978118821401,4,3,11
Oro,GC=F,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,41.36,3947.300048828125,3947.300048828125,0.0,Neutral/Lateral,50.0,bajista,38.494707478089644,2.172461026202432,6,3,11
Intel,INTC,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.48,37.65999984741211,36.60037881547767,-2.8136511848851082,Bajista,69.23076923076923,alcista,52.26263664959249,2.8136511848851065,3,4,8
NIO,NIO,🟡 NEUTRAL,⚖️ MANTENER/OBSERVAR,40.0,7.260000228881836,7.260000228881836,0.0,Neutral/Lateral,50.0,bajista,62.941190495223914,3.8271336733732655,3,2,6
Netflix,NFLX,🟡 NEUTRAL,⚠️ PRECAUCIÓN,35.71,1089.489990234375,1089.489990234375,0.0,Neutral/Lateral,50.0,bajista,31.339354915160868,2.6840098528348686,5,5,14
Plata,SI=F,🟠 NEUTRAL-BAJISTA,⚠️ PRECAUCIÓN,31.67,47.04999923706055,47.04999923706055,0.0,Neutral/Lateral,50.0,bajista,37.60551005163205,3.252561089311554,2,5,9
Shopify,SHOP,🔴 MUY BAJISTA,🛑 VENTA FUERTE,10.5,164.1649932861328,159.35842171686275,-2.9278906988973015,Bajista,90.0,bajista,59.13421072365429,2.9278906988973117,1,1,4
